Date,time_of_day,MachineName,ustanov,bez_ustanova,rabotal
2022-02-24,Ночь,VCENTR-70,0.0,43200.0,0.0
2022-02-24,Ночь,VTM9,66.0,42182.0,952.0
2022-02-25,День,CK50,5825.0,20408.0,16967.0
2022-02-25,День,V20,0.0,43200.0,0.0
2022-02-25,День,V26/60_1,3601.0,20034.0,19565.0
2022-02-25,День,V26/60_2,3660.0,8910.0,30630.0
2022-02-25,День,V26/85,3569.0,18675.0,20956.0
2022-02-25,День,VCENTR-102,2648.0,19445.0,21107.0
2022-02-25,День,VCENTR-70,1630.0,37804.0,3766.0
2022-02-25,День,VTM9,596.0,35414.0,7190.0
2022-02-25,Ночь,CK50,4456.0,10565.0,28179.0
2022-02-25,Ночь,V20,0.0,43200.0,0.0
2022-02-25,Ночь,V26/60_1,7296.0,7281.0,28623.0
2022-02-25,Ночь,V26/60_2,9275.0,7030.0,26895.0
2022-02-25,Ночь,V26/85,4644.0,3044.0,35512.0
2022-02-25,Ночь,VCENTR-102,2677.0,27875.0,12648.0
2022-02-25,Ночь,VCENTR-70,848.0,36540.0,5812.0
2022-02-25,Ночь,VTM9,0.0,43200.0,0.0
2022-02-26,День,CK50,6564.0,7152.0,29484.0
2022-02-26,День,V20,0.0,43200.0,0.0
2022-02-26,День,V26/60_1,4745.0,12035.0,26420.0
2022-02-26,День,V26/60_2,4906.0,12225.0,26069.0
2022-02-26,День,V26/85,4118.0,15310.0,23772.0
2022-02-26,День,VCENTR-102,129.0,42877.0,194.0
2022-02-26,День,VCENTR-70,5552.0,17989.0,19659.0
2022-02-26,День,VTM9,0.0,43200.0,0.0
2022-02-26,Ночь,CK50,4027.0,8322.0,30851.0
2022-02-26,Ночь,V20,0.0,43200.0,0.0
2022-02-26,Ночь,V26/60_1,7630.0,7637.0,27933.0
2022-02-26,Ночь,V26/60_2,10959.0,4798.0,27443.0
2022-02-26,Ночь,V26/85,7763.0,4414.0,31023.0
2022-02-26,Ночь,VCENTR-102,3954.0,11251.0,27995.0
2022-02-26,Ночь,VCENTR-70,3077.0,26710.0,13413.0
2022-02-26,Ночь,VTM9,0.0,43200.0,0.0
2022-02-27,День,CK50,4951.0,20877.0,17372.0
2022-02-27,День,V20,0.0,43200.0,0.0
2022-02-27,День,V26/60_1,4909.0,7859.0,30432.0
2022-02-27,День,V26/60_2,4214.0,27752.0,11234.0
2022-02-27,День,V26/85,6602.0,5723.0,30875.0
